Id,MFCC-0,MFCC-1,MFCC-2,MFCC-3,MFCC-4,MFCC-5,MFCC-6,MFCC-7,MFCC-8,MFCC-9,MFCC-10,MFCC-11,MFCC-12,MFCC-13,MFCC-14,MFCC-15,MFCC-16,MFCC-17,MFCC-18,MFCC-19
10,-311.44287,107.73471,29.080227,31.218315,17.711102,4.8632693,0.7923055,3.288135,-4.5757637,4.347462,-3.9331076,0.84411573,-1.8208964,2.0589705,-2.73205,3.7639794,-5.160434,3.8354168,-3.3387022,-0.5961199
11,-285.07394,98.79045,-17.609758,5.4141088,2.5162785,9.733651,-23.470419,-17.992313,-18.823822,-10.959551,-9.260784,-8.480508,-12.560022,-8.994003,-0.83848447,-10.57782,-11.134806,2.0296268,-9.4441395,-6.6895266
12,-296.17032,89.200294,-20.909094,31.053913,-2.687012,4.84602,-25.327301,-8.58545,-20.617802,-4.7761865,-12.905103,-12.717348,6.898713,-9.160991,-2.66293,-8.962331,-4.8946905,-9.853336,-4.5653386,-5.16577
13,-283.06378,79.48415,-1.5240597,34.44135,7.7741275,-9.658708,-1.0505451,2.4277942,1.1508571,-6.7086196,-1.7393321,6.231726,-6.3985543,1.3027593,-4.444592,-2.5654147,-6.9123154,2.29296,-2.4058602,-7.091446
14,-294.6034,97.746,17.588324,47.39279,8.927162,-1.9642838,-11.988762,-1.9238662,1.432357,-7.5060344,0.31122932,-4.127795,-10.78189,9.37716,-10.703693,8.302101,-3.114567,5.8089437,0.6622399,2.5800343
15,-273.98773,118.80652,-4.8126354,66.848175,-16.735847,20.40358,-19.95179,4.6286497,-7.277671,1.0881937,2.9918122,-4.3220296,6.1616535,-5.1860323,3.9451485,-5.3301353,3.0219898,-3.9588084,0.89171594,-3.598901
16,-331.38416,80.99988,6.4884887,12.035906,5.3627324,-10.733809,-13.979212,-7.164531,-13.841049,-12.841037,-13.786467,-7.4596834,-10.874735,-4.797775,-9.119433,-10.483971,-10.036861,-8.42037,-13.779855,-4.9043403
17,-360.33832,53.543026,43.86037,38.052307,8.46918,-1.1835519,21.87439,3.7800767,-16.938951,19.720451,-5.6967664,-1.5916497,22.590824,-10.851333,9.702558,-1.1795635,8.790396,-5.3013067,8.691795,2.5379179
18,-284.02063,73.40148,1.3958925,43.30587,-2.2592907,17.074474,2.7643015,7.8582687,8.913171,7.069626,-2.8483288,10.888676,-0.6885293,8.152531,5.8930955,2.797127,-4.089603,7.1334434,-1.8602966,2.5871015
19,-313.325,94.389626,31.354528,20.290192,-4.468966,-12.10178,5.5177865,3.606118,-15.393514,-0.063655734,5.8297753,-6.446982,1.1207198,6.8770347,-2.5355532,3.4387372,-3.6448631,10.3229685,-6.767103,6.053081
20,-352.702,72.72075,27.282759,30.512333,9.66601,7.9846754,10.70978,13.625751,-1.2435809,8.354604,10.093489,1.0692985,6.0381274,8.052913,-1.1798176,7.7839355,0.9354492,9.179548,-4.7540774,10.928236
21,-269.2255,88.08279,18.32129,-0.6033034,5.9842606,7.368594,-21.648201,2.8386228,-13.267214,7.8942013,-4.6853952,2.7475183,-14.058313,5.051391,3.3127048,-2.9227853,-6.562528,4.8444405,1.3474462,5.0782366
22,-334.7969,87.615875,21.444105,35.411503,10.847061,-0.41942817,8.258747,3.637976,1.5295773,-0.20819381,7.099927,-1.9552872,-4.938352,9.766529,-6.0988235,3.0857701,-4.222691,7.474203,1.2306118,-2.3595936
23,-303.0021,57.169716,32.34502,-0.44557953,15.184592,6.891168,-11.202356,8.47453,-4.6481814,6.556771,-8.918557,5.498349,-4.0797553,6.149436,-1.0845695,5.1115403,-3.4112487,6.4082828,-1.1959747,2.059025
24,-358.90607,95.45942,14.146013,44.31097,6.8348546,-11.579868,4.456633,-4.773048,0.32999384,-1.9894621,-4.58582,-0.26542312,1.026983,1.5916408,-4.0428586,2.0684478,4.4497175,-2.1166017,-3.6521475,-0.9769433
25,-322.9843,99.07907,8.240532,37.10133,8.4002285,-8.519725,-0.26625863,-7.234649,-0.90544635,1.2678711,-11.593165,12.4068365,-10.116463,3.6047373,-2.4661565,0.3863497,-2.513607,-0.60875946,2.2665942,-3.437697
26,-287.70038,111.86934,6.569005,30.27769,2.3111658,-2.2441766,-9.098731,-5.5405517,-5.31112,4.057962,-4.0718794,2.2803907,-4.401326,0.21402031,-2.3892007,-5.2724514,1.3189131,-4.197237,-3.2209241,-4.5569224
27,-278.84158,134.55424,0.13974437,31.068718,3.489377,7.4411964,0.50320035,-5.4814825,-0.06266888,3.1203794,-7.0718527,6.5677047,-12.301661,6.8934846,-15.209561,11.179023,-8.131779,-0.62460905,0.31288975,-11.987279
28,-299.44955,85.596725,-2.0139873,55.89219,-13.196202,33.52193,-22.011003,12.422219,0.638107,-6.0184627,16.364502,-8.389957,11.462891,-3.0592275,9.110068,-0.67432463,1.2969172,4.312949,-0.07918361,4.720241
29,-318.30826,126.88578,22.713171,32.53694,20.068285,-1.3462197,0.6432289,7.2753882,-6.17062,0.37580812,0.28577888,2.7647653,0.44361052,-0.69837016,-3.3503232,7.4896855,-9.006212,4.8445487,-7.1968017,2.991088
30,-260.13025,111.41464,-25.885708,35.794327,-19.49385,-0.4231301,-29.924541,-0.45258385,-7.458748,-8.461497,-0.8977029,-2.852542,-1.8129153,-4.871185,2.8208742,-9.618253,-4.081842,-8.65636,-5.12759,-9.81204
31,-332.44666,82.8599,28.61677,42.78935,9.019274,-4.999458,2.0981886,1.0091121,3.9773107,1.892928,7.4579015,-2.4376838,-2.8647773,12.722652,-2.889857,6.0470424,-6.0726614,6.2578883,-4.4895506,0.7094388
32,-279.44064,96.05832,6.3316054,30.858828,2.4013472,-2.5445561,0.5435517,6.126626,-3.2538106,-2.3543663,-7.664644,6.2737274,-0.6836162,-5.771474,-2.995601,8.784137,-10.859607,12.248337,-6.3131795,0.60242826
33,-308.82593,73.410904,3.8513856,43.562798,5.816962,-9.729303,-2.6639667,-8.122388,4.7371273,-7.32899,-1.3249577,0.12382305,-0.95230937,-0.63484013,0.39541498,-2.1043882,-4.9058404,4.3190284,-5.22886,2.20146
34,-264.9415,132.31883,19.537874,47.090263,-1.0688844,-4.6993656,-3.18673,-5.6583815,-1.4573127,0.9190281,-3.374131,2.5899463,-9.946606,1.6893137,-4.8294463,-7.290762,-4.2433424,1.5532026,-8.476532,-0.16411996
35,-257.23987,71.778915,-8.645347,6.0037947,-14.908863,-1.2187883,-21.966974,-11.583477,-20.01004,-6.3855104,-13.199893,-5.6907325,-16.941479,-4.5489244,-10.956835,-12.642902,-7.8879457,-7.2219925,-8.277382,-7.484755
36,-311.01343,113.73894,-4.86413,18.23504,4.61206,-15.229153,-35.282784,-2.8728876,-17.824919,-23.671219,-9.3593235,-9.661564,-3.8614185,-5.1263466,-2.1524568,-15.151356,-6.96143,-1.0937908,-7.666396,-1.9868265
37,-295.98114,62.829628,12.233019,17.152048,7.700419,10.230122,7.230541,4.071687,7.9734817,6.639027,-3.3285584,3.0117025,-5.2728925,4.340844,-3.0020607,2.016393,-2.1868305,3.2916336,-2.9914563,2.3318243
38,-307.86884,96.48555,38.138077,33.66505,24.33387,-0.5222844,-14.27095,-1.9949025,-6.3140917,-9.436826,3.7612722,2.6273932,-1.7962254,2.4024835,-2.4701486,0.03483518,-5.876082,3.0752206,-0.5106221,-4.6630626
39,-274.11337,99.93863,40.2428,35.316177,8.219503,9.16397,3.2915018,1.8378673,-5.807325,-0.8628096,5.1867895,-0.78518695,-1.2237784,8.468634,-3.0953696,9.725468,-3.9769855,2.8807743,-3.375906,3.8322942
40,-243.26233,123.33951,-5.808236,52.926605,-14.251652,13.515199,-26.36689,7.9755707,-1.7921093,-3.9208534,4.528033,-4.94698,3.225692,-3.7241414,3.101049,-9.59832,2.441009,1.0713094,3.6381047,1.9118494
41,-340.10785,91.995514,-5.5778356,24.32701,-11.241172,-9.112228,-26.962389,4.653522,-13.045735,-11.679098,7.018322,-1.7539089,-4.9379983,-3.5566263,-15.691746,-15.832648,10.02495,-11.110717,-11.330348,-2.597135
42,-339.446,96.310165,4.551434,28.240532,8.201018,2.2959569,-1.0556977,3.308348,-3.0361464,3.8674853,-4.469297,1.7387942,1.8340762,0.5630833,2.7993863,1.9945053,-1.1431152,0.8872862,-1.2354658,2.3200073
43,-312.5951,94.6185,0.2968278,28.108715,0.6180411,8.98667,-8.157212,11.283865,-2.8647003,8.515252,8.200109,9.18923,-1.3378344,4.7651067,-3.586029,4.340172,4.04734,-0.091444336,3.2756512,2.8944356
44,-296.50272,104.16605,13.971413,27.310085,9.6364565,16.05523,-1.2942303,18.74312,4.9726577,3.6028383,-6.3317585,-1.8272806,-2.6122627,-1.7117542,-1.262623,4.4012794,-2.6887252,6.788481,6.81234,4.0949593
45,-322.27734,76.04469,5.3843355,30.26656,4.423833,5.078035,-6.5156355,-7.094986,-9.782351,0.973395,0.47975764,-4.531393,0.3662457,2.6181867,-2.9870114,-1.6355503,-6.461442,2.1063612,-6.367651,-0.41609856
46,-340.2539,90.528694,61.832924,58.179966,10.513507,11.547171,0.22360538,-7.7968287,1.2215364,0.98595136,2.4014578,-4.819632,-3.1999555,8.844393,-7.8321466,4.6921964,-5.7089467,4.3812537,-2.0283253,-1.706174
47,-288.11322,103.534996,4.6244125,39.148426,14.022073,-9.909104,-0.48835626,-5.472097,-7.1206503,-8.557817,-9.760462,-2.9931765,-5.249277,0.27323538,-5.3315635,-6.292412,-4.622075,-1.7046337,-7.7005615,-3.6666145
48,-325.30466,71.82332,-12.477394,18.81586,-8.1647,-38.28955,-30.651382,-6.455036,-13.45467,-4.5885367,-21.863514,-7.9275074,-7.0968137,-5.579751,-12.073128,-5.4764557,-6.667402,-6.14556,-13.122696,-9.743406
49,-347.1474,89.30028,-28.182564,10.744003,-18.081102,-18.24182,-28.53669,-4.0603995,-8.647126,-4.7114077,-11.026247,-11.433438,-5.024026,-9.5444,3.1327415,-4.489475,-0.21708676,-6.4545903,-7.2861857,-2.0947144
50,-388.67337,9.2403,-36.497417,31.274809,-10.505041,-17.390074,-27.438883,-25.890318,-31.88412,-4.2175293,-5.2079916,-5.9880486,5.8105307,-4.231636,0.9996007,1.8337858,-11.858004,0.89490294,-0.8489976,6.1849504
51,-333.24387,81.63073,-22.696644,33.45664,3.2279587,4.9316897,-13.462723,-6.256331,12.963535,4.1357417,-3.8435857,1.5453451,-0.25547957,-10.0065,-3.4091141,-6.173158,-5.1361084,4.305406,-0.10271145,-1.4030473
52,-287.03622,104.81426,21.556875,24.84901,12.819686,9.042059,-9.053775,-0.7532741,-4.263185,-5.5588307,-5.3121805,-5.927295,-5.616915,-0.3142678,-4.8536606,3.7036517,-1.200013,-0.86417717,-0.46349356,-2.8461487
53,-304.671,76.37339,-8.548736,10.893511,17.541338,-2.8169377,-25.918089,-19.573877,-33.851585,-9.115985,-10.706802,-10.735317,-5.0063186,-1.7411149,-17.939365,-6.1965437,-13.200189,-7.6247454,-10.965259,1.2189702
54,-244.22792,76.95937,4.7237873,18.711329,1.5019609,3.153808,-13.920674,-6.557559,-3.1614962,-0.100772396,-5.4294634,-6.4882083,-7.6886544,-6.8310347,-7.6768875,4.6205015,-9.456319,-0.7770683,-7.70166,2.5918183
55,-264.73123,47.459625,-18.455065,60.710384,2.6096838,9.181709,-11.594133,12.667498,-3.8035605,14.023956,-8.984694,4.119682,-0.49400002,1.7257031,1.3075842,6.2539325,-1.0380552,4.014581,3.2512255,2.182351
56,-214.59248,128.32704,17.366016,30.051567,11.358928,7.6808224,-3.3791637,-0.49232054,-8.711348,-0.61527675,-1.2275608,-5.04141,-3.149405,-3.7032697,-4.4960213,3.8948934,-7.627455,6.6810746,-2.453595,-2.5484474
57,-303.17148,101.18746,10.781367,31.915213,5.4231877,-2.9508505,-0.12009293,-6.005778,2.6328914,1.255647,9.112915,-3.7379324,-3.404377,4.021548,2.1418405,6.160417,-12.517674,6.9767866,-2.54504,-0.10902093
58,-342.7577,103.63564,-53.49057,78.14628,-6.0836678,13.910163,-0.14930405,2.3321297,7.3505116,3.4388936,8.756653,-2.0339847,8.537733,-6.68921,10.791351,0.7050572,-2.7354834,5.778921,-4.243389,5.193478
59,-239.61177,79.75496,8.607356,45.21268,1.7106181,35.05889,5.7309055,-6.608065,-2.1431124,18.926498,3.540306,-3.8800676,4.493931,13.165882,8.325396,7.0428715,0.6070837,13.202033,8.465419,-1.5721585
60,-392.36948,109.13523,-3.490959,47.39113,7.199272,-13.661392,-6.786773,-5.1754775,6.7330437,0.30149636,-12.483121,9.334025,-4.842843,1.0144194,0.029227218,-3.334999,-1.9933163,-4.600143,-2.7473614,-4.9788094
61,-300.48935,19.351286,-39.97073,42.916954,11.689539,-14.710725,-3.3418794,17.991695,-21.515827,7.5374007,3.6520882,-9.753963,9.318745,1.861763,3.7052066,-3.2115297,9.336079,-2.0349565,-3.8014395,7.3634143
62,-296.09158,57.784405,2.5848718,5.4689803,-5.4173603,-11.019313,-30.845064,-12.335167,-24.584753,-3.1566072,-22.070087,-6.249995,-13.04345,-11.710599,-8.099993,-1.8727407,-16.633821,-3.3704042,-3.0358377,-6.2565484
63,-314.6417,52.266617,16.00059,32.652576,10.027354,-7.607982,-0.93879455,6.0171156,0.66040015,3.2588098,-0.2583047,5.4173675,-1.0747894,5.0613403,-1.0626303,-2.4484239,-1.6905175,4.487685,-4.048514,-0.14943236
64,-347.4815,110.18289,2.2842367,48.066936,10.688846,7.55076,3.383453,5.1068883,-3.876755,7.7431016,-3.964419,0.5316982,0.9586832,3.8388445,3.9896266,5.06524,-0.059027754,6.121834,0.3422062,2.3706427
65,-311.9913,141.16766,6.014218,40.1097,1.8746951,8.789791,-6.582258,0.85182494,-6.7074924,-3.9832788,0.046671897,-4.2520056,0.8740724,4.3235893,-6.646478,6.642083,-1.7540087,0.18617284,-0.4465581,2.974244
66,-403.79587,63.130886,1.3337929,34.840515,-4.067172,-5.7579455,-23.082481,-20.848131,-11.274474,-11.11597,-12.369719,-8.627204,-10.727901,-7.368172,-5.78149,-11.841437,-5.2207084,-6.9799247,-5.5950313,-7.495045
67,-291.52756,134.55179,-3.621764,32.46799,3.6846614,-0.14049104,-23.867294,-2.3310819,-1.5788755,-4.025505,-3.7796285,4.006693,-2.7908635,-1.4372817,2.2302747,-19.521666,3.1552866,1.0311649,-1.7721847,0.638056
68,-263.23132,90.165726,58.367138,33.02882,7.031537,35.401405,-6.331519,0.028190734,9.531442,2.911078,-1.7913748,5.579425,0.7759195,4.615896,-6.1562614,-4.781686,-2.0199966,8.118407,-2.1907945,6.449982
69,-289.515,96.30924,2.8283281,28.04627,3.2929337,-11.435344,8.295909,3.8743298,-3.6664946,1.1510081,-2.0461526,-3.020719,2.4322765,-7.5709286,4.9343886,1.2630721,-7.931839,6.6466384,-7.7383575,4.7468553
70,-328.65018,98.47574,15.819474,35.321335,2.5550103,-13.133675,3.521731,-8.374436,-0.43153018,7.9370747,-9.724781,10.265351,-5.535654,5.0438533,-5.7871194,0.09556346,-0.14393054,-2.768308,-4.1814723,-2.3651893
71,-338.55145,75.32902,24.186958,48.582417,19.723452,-10.908204,-8.718277,-14.722008,-4.54816,-13.543508,-8.439394,9.037567,-7.3299975,-5.5883584,5.421547,-5.5359545,-0.7452466,-0.016476175,-5.61149,-3.9402215
72,-283.13846,104.02551,4.8836913,30.799202,3.0512097,11.980455,0.47519514,-1.8272724,3.4089901,-0.68853426,-5.4707136,-0.1325143,-2.2990572,-1.6622559,0.15750034,4.8353906,-0.5032277,2.8332863,1.0512587,2.4338567
73,-201.51537,85.944466,12.044905,48.401333,9.37116,-4.303415,-7.245445,-1.9095966,-5.6074314,7.674676,-2.9384918,-2.3379772,5.8219914,2.5495665,-1.4930211,3.2822142,-11.392206,10.9958515,-4.3336034,-5.1458716
74,-294.04028,106.50428,-17.04577,45.69705,-1.3192294,-11.865632,-18.399925,-1.490001,-9.761548,-17.611101,-0.97694355,-3.5906975,-8.545445,3.0793235,-1.2870722,-4.3998246,3.003526,-7.573577,-2.3984494,-9.024303
75,-351.6652,64.49887,30.128077,29.98538,16.026613,2.0784962,5.177365,20.72337,-6.8320045,3.7210248,16.423393,-1.8372594,2.9993372,11.394712,-2.2005954,11.512605,-8.226361,10.436078,-2.7692275,-1.1666576
76,-362.04385,85.41493,42.98117,43.746544,6.4829817,-1.9756972,11.756742,9.250975,0.80495274,5.2791414,-2.4509346,1.0439996,-7.296956,4.8642325,-4.1675744,-3.2392554,-2.164585,4.279718,-4.315974,-0.14586954
77,-336.51892,70.62585,45.22343,44.82935,32.169495,1.1449085,-12.204652,2.2850459,8.709703,-5.2150965,4.813668,-0.8741194,-6.5496917,7.1344743,-4.2436094,6.3524055,-10.335489,5.8209786,1.0790522,-4.727038
78,-198.95016,151.58307,-17.876657,12.961481,16.987288,25.541157,-18.590714,6.5214453,9.558226,-1.5954944,2.5531325,4.650639,2.0408156,0.26136798,3.1719885,0.875415,1.0703257,0.7865918,1.7156403,2.3966956
79,-339.4843,78.13346,27.597404,0.09038897,4.860069,4.9368362,-21.373558,5.5092754,-11.043616,7.627643,-9.529828,8.9994335,-10.717259,2.5964842,1.7399075,-4.1532784,1.8511486,2.1014404,-4.7163877,3.007463
80,-262.56702,48.619522,3.4632256,38.762558,-4.525399,8.176726,-3.1216228,-3.6769028,4.1790886,0.34415728,-0.08625887,3.9809494,-3.9422936,9.883236,-5.8270764,3.3708453,1.9182533,4.0597076,-2.024074,-0.030897835
81,-342.5651,126.68813,6.9710093,39.580486,12.753901,-18.494324,-26.3235,-0.0031041934,-7.5650105,-5.1620693,-4.781009,-13.033563,-6.424675,-7.7538033,-0.78885436,-7.968129,-6.848027,-3.1704772,-6.4847865,-3.582939
82,-248.53331,136.45184,-5.36163,29.632744,-7.3480806,-1.2483113,-21.089542,-3.902151,-14.8894825,-4.5015836,-3.9383664,-6.952586,-0.2099646,-5.827308,7.995198,-6.382362,-2.603858,-2.1648045,-2.628948,-7.2777915
83,-273.13974,59.711918,6.480156,30.49908,6.1429935,4.561564,-7.2429004,5.2759843,-1.9419849,3.3213985,1.4754034,-3.0889275,-6.224005,0.42050883,1.0903444,-6.2744417,-3.1972773,4.577403,-3.40445,-2.0226526
84,-276.41907,67.702866,17.601254,35.076103,-1.6879523,-6.4692097,4.816509,1.8961897,0.30300647,-2.0174327,2.3919036,1.3758807,-1.3913907,8.900918,-4.9754415,1.6305314,-1.6917064,3.4638436,-0.32569268,-5.8837833
85,-301.04663,91.37202,19.73907,25.99874,15.178696,6.7555737,-6.222211,10.446491,-4.7160783,1.1243683,-3.6946275,-0.26530898,-1.5214092,4.5318813,-2.6933708,5.174754,-0.29415017,-0.05262552,1.0306659,-0.43556497
86,-231.66728,121.44051,-22.08741,41.207905,-13.983804,12.159932,-21.375034,3.0113945,-5.413555,-1.6782397,-6.493859,-15.952734,-1.4094466,-5.3033023,3.6654446,-14.91648,-5.4683156,-5.746771,-3.3309648,-3.5206006
87,-309.582,98.920616,4.7143545,39.16535,6.2777267,10.709687,-20.158579,-10.049683,-11.429788,-7.4761357,-4.2728276,2.2731833,-6.795376,-10.536298,2.071442,-16.082195,-0.18022849,-5.609317,-3.3790092,1.3604906
88,-334.20227,107.89525,1.7224886,28.305006,-5.2261286,-14.31092,-15.992646,-12.579081,-13.167074,-12.220875,-9.122104,-6.3618155,-12.20956,-5.3350296,0.17041788,-13.188241,-3.493946,-6.4227147,-8.877371,-1.1247977
89,-323.83728,100.723816,23.195673,32.636806,16.455606,-1.6706405,0.3183958,-3.836974,-5.6336718,-9.557492,-1.5144787,-1.7872957,-8.740942,-3.656379,-4.8113675,-4.876517,-6.0484157,-4.119415,-2.8346682,-3.0853395
90,-333.66583,97.91458,-16.764847,60.06642,-11.243923,-15.816315,5.6797514,-16.90442,1.8733437,-14.252706,-6.122846,10.795634,-18.327938,10.425753,-11.282696,-6.8776894,3.4719496,-7.79871,3.8841188,-5.8157053
91,-282.69897,75.98444,3.5696845,41.040382,17.224783,11.730811,3.8305402,11.259935,-2.1974082,13.13902,2.452609,13.06057,7.803141,4.044306,7.2511654,6.292857,6.9821362,4.2917285,8.32537,2.4346282
92,-292.0096,64.165306,9.884785,12.497844,-6.517519,-16.87164,-38.755707,-6.2566304,-15.58602,-2.7735705,-26.412794,-0.10874107,-19.761585,-2.9828708,-3.542786,-13.985764,0.14017074,-8.023834,-9.057737,2.3365216
93,-323.62704,106.18964,32.950584,34.076187,16.552155,0.9615625,8.134431,1.7985107,4.8872743,-7.8810735,5.751768,0.6021026,-3.366534,7.0990605,-10.716023,7.1745863,-2.0261242,-0.71950996,-2.2947726,-1.2359172
94,-256.46384,68.563995,6.516135,40.214233,12.259893,-10.223007,-5.1923895,-4.0817285,5.552312,3.9739516,-4.612125,5.646489,-3.3015087,6.10967,-0.1321905,-3.227804,-3.5361388,3.428057,-9.5337925,-4.9591846
95,-302.71606,67.72105,17.738392,19.09317,11.136579,-8.382878,-1.6953408,10.814854,-3.1625953,1.8843783,-5.5593467,10.397053,-7.350176,1.069718,4.418797,-0.4104392,-4.2974195,0.436034,-2.6215482,3.218139
96,-384.7315,66.201126,5.0154457,42.04206,4.3300867,-7.4865546,2.4247143,-4.8019094,5.8956194,-3.5808043,-3.8191967,3.3998055,-6.3110585,8.703117,-8.945223,2.232329,1.3617632,-2.0390599,-1.4252597,-2.8954964
97,-291.38458,71.35614,1.7897228,27.390688,-0.6060688,-11.927795,-13.958534,-12.451079,-16.15431,-9.012007,-9.848951,-7.5461845,-8.343424,-11.651963,-9.339459,-5.019912,-10.068844,-3.1176255,-5.945273,0.661158
98,-263.7236,72.71168,34.074436,32.81384,16.408909,9.075032,1.4231936,2.3328934,-10.794498,10.744871,-2.1203358,3.810124,-0.0810547,4.2051764,3.2834213,5.0221715,-2.4028382,3.8731546,-5.7611647,-2.7829952
99,-357.58246,70.92216,2.9086049,40.417194,4.6378484,-1.7154418,-7.0275135,-2.2096152,-12.763006,-4.275705,-9.329908,6.5473757,-4.8042507,-7.1220517,4.803637,1.1302013,-6.6561866,-2.1275437,-3.226698,-4.7977524
100,-355.95602,99.49442,25.435047,33.48396,20.973112,0.75591385,1.9414515,5.398544,-4.336775,-5.2232256,-2.302688,-3.5545394,-3.843915,-2.6795385,-2.0223694,-4.2959604,-3.162449,-2.859679,-4.0456853,-4.268449
101,-307.2053,95.54034,16.2737,25.53053,24.732471,4.940757,5.297802,7.906132,-7.113921,5.726611,-5.2788,6.1733575,-0.2710866,-1.4751663,9.407255,6.3574944,-4.281874,8.935734,3.483021,-0.68324196
102,-231.45494,133.7942,-11.829367,34.323715,-16.420828,14.217937,-23.167503,-0.7817288,-10.905942,-7.2205873,-4.833169,-9.322219,-3.0609932,-11.805141,-7.006217,-3.986709,1.4961523,-13.432797,2.146323,-2.0176651
103,-279.32043,85.45178,26.578798,41.99116,8.132127,6.0639687,0.7463832,6.504409,2.0144997,-9.035741,1.5295662,-2.0640912,-4.2587023,8.72899,-5.865775,5.2850795,-1.6315501,2.8374634,-2.2433343,0.10807478
104,-338.34348,104.749176,40.189194,39.548767,6.7605233,5.309903,5.8939357,0.082087256,-2.6564116,-1.6119072,-6.9749312,-0.45120645,-9.880175,1.2763538,-5.0044127,-2.9869108,-4.9714313,-0.23219964,-8.44535,-1.5975927
105,-302.00085,61.51138,17.300266,24.508984,-14.903936,1.9407157,-6.391381,5.2461166,-8.047739,-1.1691092,-9.559793,0.21534592,-3.3526723,5.9973474,-8.111594,6.5984387,-2.907394,3.7096639,-4.0824547,2.9776366
106,-309.35364,95.27472,44.564167,28.134127,0.95954525,-4.7608094,5.516343,13.245401,-15.002027,-2.7265189,10.3533535,-1.9999598,-7.0484886,7.3101535,-3.0015545,2.6594834,-6.151082,4.0151176,-3.8147304,-3.4519055
107,-351.76303,117.94357,-7.4206843,33.136524,5.5841126,-6.2796006,-23.191298,-25.185377,-6.687664,-11.574132,-20.829721,3.9971669,-3.8087268,-15.901466,3.8801517,-6.362353,-7.2546268,-4.01643,-7.7914815,-7.1654015
108,-248.52206,115.01487,11.769176,48.78617,9.590748,12.907655,-10.668853,-6.6430354,0.5418532,-2.9687414,-12.568915,2.0365222,-6.3590207,-2.0605671,1.6281202,1.1887712,-4.4595785,2.2661328,1.1261053,0.35519224
109,-325.07245,78.203255,-5.182973,8.027995,-2.146311,-17.216549,-25.125948,-12.787069,-20.013151,-17.933775,-10.424161,-20.377699,-10.351141,-9.069666,-13.926625,-9.347778,-8.964998,-7.963474,-12.32037,-1.8319142
110,-368.97134,66.081566,39.059944,68.99226,6.4544334,3.272728,8.148628,7.836608,-0.40677565,-3.9815896,7.6513033,4.312341,0.101501465,11.401707,-5.7062964,6.237408,2.176398,4.1635447,-0.14404117,3.7634518
111,-258.89395,56.975292,-1.5251622,28.960346,-4.592146,24.149393,-5.911828,13.626672,-14.595141,-3.7219203,4.9800863,-4.217609,7.8921494,-1.6512355,-2.2179382,14.484819,-8.542394,-1.3532487,0.089291856,2.2314003
